S229    ,0.088,0.425,0.488,0.968,0.032,0,0.003,0.101,0.896,0.038,0.229,0.732,0.007,0.088,0.905,0,0.051,0.948,0.038,0.406,0.557,0,0.012,0.988
S231    ,0.413,0.455,0.133,0.991,0.009,0,0.047,0.339,0.613,0.372,0.459,0.169,0.351,0.366,0.283,0.469,0.525,0.006,0.936,0.061,0.003,0.005,0.129,0.867
S232    ,0.65,0.312,0.038,0.58,0.405,0.015,0.001,0.06,0.939,0.235,0.437,0.328,0.01,0.164,0.827,0.032,0.711,0.256,0.686,0.275,0.039,0.001,0.052,0.948
S234    ,0.358,0.476,0.167,0.076,0.774,0.15,0,0.018,0.982,0,0.026,0.974,0,0.026,0.974,0,0.002,0.998,0.019,0.402,0.579,0,0.01,0.99
S235    ,0.004,0.132,0.864,0.978,0.022,0,0.404,0.474,0.122,0.004,0.117,0.878,0.152,0.451,0.397,0.018,0.806,0.176,0.966,0.034,0,0.001,0.054,0.946
S237    ,0.405,0.461,0.134,0.987,0.013,0,0.108,0.434,0.458,0.194,0.374,0.433,0.05,0.204,0.747,0.006,0.307,0.688,0.257,0.507,0.236,0.009,0.138,0.853
S238    ,0.001,0.064,0.935,0.788,0.21,0.002,0.05,0.368,0.582,0.012,0.166,0.822,0.163,0.317,0.52,0.01,0.618,0.372,0.938,0.061,0.001,0.413,0.419,0.168
S240    ,0.037,0.29,0.674,0.054,0.757,0.19,0.001,0.071,0.928,0.026,0.191,0.783,0.023,0.181,0.796,0,0.005,0.995,0.681,0.31,0.009,0.009,0.151,0.84
S241    ,0.199,0.515,0.287,0.994,0.006,0,0.205,0.525,0.27,0.058,0.348,0.593,0.021,0.235,0.744,0.05,0.843,0.107,0.99,0.01,0,0.523,0.395,0.082
S243    ,0.224,0.49,0.286,0.732,0.265,0.003,0,0.039,0.961,0.002,0.067,0.931,0.003,0.079,0.918,0.002,0.405,0.593,0.8,0.194,0.006,0.01,0.16,0.83
S249    ,0.001,0.045,0.955,0.139,0.797,0.064,0.009,0.188,0.804,0.001,0.043,0.956,0.03,0.222,0.749,0,0,1,0.072,0.599,0.328,0,0.01,0.99
S250    ,0.041,0.324,0.635,0.739,0.257,0.004,0.001,0.05,0.949,0.052,0.304,0.644,0.016,0.169,0.814,0.007,0.637,0.356,0.87,0.127,0.003,0,0.043,0.957
S252    ,0.025,0.268,0.707,0,0.105,0.895,0,0.036,0.964,0,0.009,0.991,0,0.02,0.98,0,0,1,0.018,0.402,0.58,0,0.01,0.99
S253    ,0.034,0.285,0.68,0.787,0.212,0.001,0.004,0.119,0.877,0.001,0.046,0.953,0.002,0.047,0.951,0,0.006,0.994,0.075,0.598,0.327,0,0.01,0.99
S255    ,0.087,0.407,0.506,0.977,0.023,0,0.024,0.266,0.71,0.666,0.299,0.035,0.373,0.451,0.176,0.609,0.389,0.001,0.974,0.025,0,0.873,0.123,0.005
S256    ,0.001,0.07,0.929,0,0.159,0.841,0.001,0.067,0.932,0,0.018,0.982,0.007,0.098,0.895,0,0.002,0.998,0.073,0.599,0.328,0,0.025,0.975
S258    ,0.057,0.366,0.577,0.977,0.023,0,0.282,0.49,0.228,0.091,0.324,0.586,0.007,0.114,0.879,0.004,0.404,0.592,0.468,0.449,0.083,0,0.031,0.969
S259    ,0.118,0.446,0.436,0.971,0.029,0,0.001,0.062,0.937,0.596,0.345,0.059,0.216,0.385,0.399,0.267,0.723,0.011,0.985,0.015,0,0.177,0.484,0.339
S261    ,0.016,0.203,0.781,0.122,0.747,0.131,0.131,0.473,0.396,0.001,0.041,0.958,0.013,0.11,0.876,0,0.155,0.845,0.725,0.267,0.008,0,0.017,0.982
S262    ,0.002,0.088,0.91,0.477,0.513,0.01,0.048,0.349,0.603,0,0.007,0.993,0,0.025,0.974,0,0.089,0.911,0.264,0.611,0.125,0,0.014,0.986
S269    ,0.047,0.323,0.631,0.618,0.375,0.007,0.001,0.042,0.958,0,0.014,0.986,0.017,0.121,0.863,0.004,0.329,0.667,0.42,0.487,0.093,0.022,0.14,0.838
S270    ,0.049,0.297,0.654,0.801,0.194,0.005,0.015,0.169,0.817,0.002,0.053,0.946,0.028,0.147,0.825,0.002,0.164,0.834,0.17,0.55,0.279,0.013,0.102,0.886
